Material :        Fermi energy : 
Start eV : 0.00   End eV : 7.00   Step eV : 0.05   Dwell(sec)1.00   Delay(Sec)0.10   Sweep : 10
Kinetic energy	CPS	Current	CPS/uA
eV	    	uA	    

0.000000000	194.800000000	1.761404780	110.593545681
0.050000000	205.400000000	0.000045170	4547265.884436573
0.100000000	202.400000000	0.000065260	3101440.392277045
0.150000000	198.300000000	0.000075250	2635215.946843854
0.200000000	197.500000000	0.000077390	2552009.303527587
0.250000000	208.900000000	0.000083450	2503295.386458957
0.300000000	203.100000000	0.000085960	2362726.849697534
0.350000000	188.700000000	0.000097450	1936377.629553617
0.400000000	205.300000000	0.000101490	2022859.395014287
0.450000000	201.800000000	0.000105020	1921538.754522948
0.500000000	202.800000000	0.000116460	1741370.427614632
0.550000000	203.300000000	0.000116870	1739539.659450672
0.600000000	202.500000000	0.000133760	1513905.502392344
0.650000000	202.300000000	0.000140070	1444277.861069465
0.700000000	192.900000000	0.000159080	1212597.435252703
0.750000000	192.300000000	0.000172030	1117828.285764111
0.800000000	195.300000000	0.000196370	994551.102510567
0.850000000	193.400000000	0.000223690	864589.387098216
0.900000000	195.500000000	0.000249290	784227.205262947
0.950000000	198.400000000	0.000296510	669117.399075916
1.000000000	203.100000000	0.000353800	574053.137365743
1.050000000	200.900000000	0.000437800	458885.335769758
1.100000000	196.000000000	0.000558080	351204.128440367
1.150000000	199.800000000	0.000713930	279859.369966243
1.200000000	191.700000000	0.000933260	205408.996421147
1.250000000	201.300000000	0.001249700	161078.658878131
1.300000000	198.100000000	0.001729300	114555.022263344
1.350000000	198.200000000	0.005672100	34942.966449816
1.400000000	193.300000000	0.003617200	53439.124184452
1.450000000	193.700000000	0.005170500	37462.527801953
1.500000000	188.400000000	0.007204700	26149.596790984
1.550000000	202.700000000	0.010155100	19960.413979183
1.600000000	196.400000000	0.014591800	13459.614303924
1.650000000	198.400000000	0.080170000	2474.741175003
1.700000000	195.300000000	0.033406000	5846.255163743
1.750000000	189.000000000	0.041691000	4533.352522127
1.800000000	194.800000000	0.058424000	3334.246200192
1.850000000	195.300000000	0.081989000	2382.026857261
1.900000000	186.600000000	0.114107000	1635.307211652
1.950000000	188.500000000	0.156756000	1202.505805200
2.000000000	195.600000000	1.112865000	175.762558801
2.050000000	195.700000000	0.311460000	628.331085854
2.100000000	187.100000000	0.382640000	488.971356889
2.150000000	185.300000000	0.506550000	365.807916297
2.200000000	188.300000000	0.646450000	291.283161884
2.250000000	183.800000000	0.812050000	226.340742565
2.300000000	185.800000000	0.984220000	188.778931540
2.350000000	186.400000000	1.163540000	160.200766626
2.400000000	184.200000000	1.350120000	136.432317127
2.450000000	179.900000000	1.515460000	118.709830678
2.500000000	178.300000000	1.641140000	108.643991372
2.550000000	177.200000000	1.760900000	100.630359475
2.600000000	181.100000000	1.890500000	95.794763290
2.650000000	182.600000000	4.831650000	37.792472551
2.700000000	176.400000000	2.161800000	81.598667777
2.750000000	180.500000000	2.213900000	81.530331090
2.800000000	176.100000000	2.314500000	76.085547634
2.850000000	176.800000000	2.414500000	73.224270035
2.900000000	182.700000000	2.491800000	73.320491211
2.950000000	191.700000000	2.567900000	74.652439737
3.000000000	195.200000000	2.639800000	73.944995833
3.050000000	214.700000000	2.709200000	79.248486638
3.100000000	226.700000000	2.776700000	81.643677747
3.150000000	246.000000000	2.839500000	86.634970946
3.200000000	274.100000000	2.904400000	94.374053161
3.250000000	299.400000000	2.969000000	100.842034355
3.300000000	342.000000000	3.044500000	112.333716538
3.350000000	376.000000000	3.134200000	119.966817689
3.400000000	407.600000000	3.237000000	125.919060859
3.450000000	427.200000000	3.342100000	127.823823345
3.500000000	455.400000000	3.461400000	131.565262611
3.550000000	486.300000000	3.581000000	135.800055850
3.600000000	489.700000000	3.706700000	132.112121294
3.650000000	497.400000000	3.844600000	129.376268012
3.700000000	493.500000000	3.979500000	124.010554090
3.750000000	478.500000000	4.099100000	116.732941377
3.800000000	471.400000000	4.199100000	112.262151413
3.850000000	441.600000000	4.278800000	103.206506497
3.900000000	414.700000000	4.343400000	95.478196804
3.950000000	382.600000000	4.392300000	87.106982674
4.000000000	363.000000000	4.430900000	81.924665418
4.050000000	325.500000000	4.464700000	72.905234394
4.100000000	310.400000000	4.492200000	69.097546859
4.150000000	300.500000000	4.518000000	66.511730854
4.200000000	283.400000000	4.543100000	62.380313002
4.250000000	294.000000000	4.570100000	64.331196254
4.300000000	291.800000000	4.599000000	63.448575777
4.350000000	298.200000000	4.634800000	64.339345819
4.400000000	307.300000000	4.679300000	65.672215930
4.450000000	331.400000000	4.729300000	70.073795276
4.500000000	344.500000000	4.779300000	72.081685602
4.550000000	359.500000000	4.829000000	74.446055084
4.600000000	391.200000000	4.888600000	80.022910445
4.650000000	421.000000000	4.949500000	85.059096878
4.700000000	407.800000000	5.013400000	81.342003431
4.750000000	420.200000000	5.078000000	82.749113824
4.800000000	424.500000000	5.144500000	82.515307610
4.850000000	443.400000000	5.206800000	85.157870477
4.900000000	438.500000000	5.259600000	83.371359039
4.950000000	422.000000000	5.307000000	79.517618240
5.000000000	421.100000000	5.346500000	78.761806789
5.050000000	417.300000000	5.380700000	77.554964967
5.100000000	392.500000000	5.415700000	72.474472367
5.150000000	410.200000000	5.446800000	75.310273922
5.200000000	395.600000000	5.477200000	72.226685168
5.250000000	406.000000000	5.507000000	73.724350826
5.300000000	421.600000000	5.538300000	76.124442518
5.350000000	443.200000000	5.568500000	79.590554009
5.400000000	435.100000000	5.599900000	77.697816032
5.450000000	478.300000000	5.635700000	84.869670139
5.500000000	486.800000000	5.667000000	85.900829363
5.550000000	520.200000000	5.703400000	91.208752674
5.600000000	542.600000000	5.742100000	94.495045367
5.650000000	562.400000000	5.778600000	97.324611498
5.700000000	579.000000000	5.814600000	99.576927046
5.750000000	600.300000000	5.850500000	102.606614819
5.800000000	615.800000000	5.884400000	104.649581945
5.850000000	622.600000000	5.912500000	105.302325581
5.900000000	626.900000000	5.939800000	105.542274151
5.950000000	632.700000000	5.965400000	106.061622020
6.000000000	622.800000000	5.988600000	103.997595431
6.050000000	620.100000000	6.010600000	103.167736998
6.100000000	608.900000000	6.030000000	100.978441128
6.150000000	600.700000000	6.048900000	99.307312073
6.200000000	590.400000000	6.066900000	97.314938436
6.250000000	562.100000000	6.081800000	92.423295735
6.300000000	559.500000000	6.097700000	91.755907965
6.350000000	562.200000000	6.112700000	91.972450799
6.400000000	530.800000000	6.128200000	86.615972064
6.450000000	519.900000000	6.143800000	84.621895244
6.500000000	520.600000000	6.160000000	84.512987013
6.550000000	504.700000000	6.174100000	81.744707731
6.600000000	504.300000000	6.189900000	81.471429264
6.650000000	489.300000000	6.207200000	78.827812862
6.700000000	497.200000000	6.225000000	79.871485944
6.750000000	485.600000000	6.243200000	77.780625320
6.800000000	470.000000000	6.259600000	75.084669947
6.850000000	481.000000000	6.276900000	76.630183689
6.900000000	490.400000000	6.293600000	77.920427101
6.950000000	497.800000000	6.310600000	78.883148987
7.000000000	482.100000000	6.327500000	76.191228763
