Material :        Fermi energy : 
Start eV : 0.00   End eV : 7.00   Step eV : 0.05   Dwell(sec)1.00   Delay(Sec)0.10   Sweep : 10
Kinetic energy	CPS	Current	CPS/uA
eV	    	uA	    

0.000000000	196.800000000	1.313714600	149.804226885
0.050000000	198.900000000	0.000049910	3985173.311961531
0.100000000	197.500000000	0.000064220	3075365.929616942
0.150000000	185.800000000	0.000074030	2509793.327029583
0.200000000	196.400000000	0.000076210	2577089.620784674
0.250000000	195.700000000	0.000082600	2369249.394673123
0.300000000	197.300000000	0.000084890	2324184.238426199
0.350000000	190.000000000	0.000096450	1969932.607568688
0.400000000	194.100000000	0.000100510	1931151.129240871
0.450000000	196.400000000	0.000103820	1891735.696397611
0.500000000	196.800000000	0.000114780	1714584.422373236
0.550000000	194.600000000	0.000115590	1683536.638117484
0.600000000	186.600000000	0.000132060	1412994.093593821
0.650000000	195.800000000	0.000138380	1414944.356120827
0.700000000	193.300000000	0.000157190	1229721.992493161
0.750000000	199.700000000	0.000169710	1176713.216663720
0.800000000	190.400000000	0.000193600	983471.074380165
0.850000000	185.600000000	0.000220220	842793.570066297
0.900000000	197.000000000	0.000244940	804278.598840532
0.950000000	196.100000000	0.000290810	674323.441422235
1.000000000	196.500000000	0.000346150	567672.974144157
1.050000000	181.300000000	0.000426650	424938.474159147
1.100000000	191.200000000	0.000542290	352578.878459865
1.150000000	189.300000000	0.000689650	274487.058652940
1.200000000	193.000000000	0.000901720	214035.399015215
1.250000000	189.200000000	0.001202270	157368.977018473
1.300000000	198.000000000	0.001660550	119237.601999338
1.350000000	191.400000000	0.010429500	18351.790593988
1.400000000	196.900000000	0.003598700	54714.202350849
1.450000000	194.600000000	0.004922500	39532.757745048
1.500000000	184.400000000	0.006839000	26963.006287469
1.550000000	191.900000000	0.009673200	19838.316172518
1.600000000	184.800000000	0.013829200	13363.028953229
1.650000000	190.600000000	0.019846600	9603.660072758
1.700000000	189.600000000	0.032465000	5840.135530571
1.750000000	176.400000000	0.039558000	4459.274988624
1.800000000	183.200000000	0.055438000	3304.592517768
1.850000000	188.700000000	0.077596000	2431.826382803
1.900000000	181.800000000	0.108158000	1680.874276521
1.950000000	182.000000000	0.148632000	1224.500780451
2.000000000	177.000000000	0.202828000	872.660579407
2.050000000	183.700000000	0.301140000	610.015275287
2.100000000	182.900000000	0.363430000	503.260600391
2.150000000	183.800000000	0.483090000	380.467407729
2.200000000	182.000000000	0.616540000	295.195769942
2.250000000	176.100000000	0.775060000	227.208216138
2.300000000	171.100000000	0.938840000	182.246176132
2.350000000	167.000000000	1.110300000	150.409799153
2.400000000	180.500000000	1.288590000	140.075586494
2.450000000	177.300000000	1.444330000	122.755879889
2.500000000	175.300000000	1.563150000	112.145347535
2.550000000	166.900000000	1.676280000	99.565705013
2.600000000	165.400000000	1.800770000	91.849597672
2.650000000	174.300000000	1.912850000	91.120579240
2.700000000	175.300000000	6.628350000	26.447004156
2.750000000	170.800000000	2.213300000	77.169836895
2.800000000	175.300000000	2.210300000	79.310500837
2.850000000	172.900000000	2.301900000	75.111864112
2.900000000	178.700000000	2.374400000	75.261118598
2.950000000	184.100000000	2.446400000	75.253433617
3.000000000	196.500000000	2.514600000	78.143641136
3.050000000	204.000000000	2.579700000	79.078962670
3.100000000	217.100000000	2.644000000	82.110438729
3.150000000	237.100000000	2.703700000	87.694640678
3.200000000	247.500000000	2.766400000	89.466454598
3.250000000	281.400000000	2.828800000	99.476809955
3.300000000	316.500000000	2.902100000	109.058957307
3.350000000	348.800000000	2.989200000	116.686738927
3.400000000	397.700000000	3.089600000	128.722164682
3.450000000	410.300000000	3.190000000	128.620689655
3.500000000	442.700000000	3.304100000	133.985048879
3.550000000	452.300000000	3.419700000	132.263064011
3.600000000	476.200000000	3.539900000	134.523574112
3.650000000	470.800000000	3.670600000	128.262409415
3.700000000	459.600000000	3.796300000	121.065247741
3.750000000	456.500000000	3.906900000	116.844557066
3.800000000	432.100000000	3.999200000	108.046609322
3.850000000	421.600000000	4.070700000	103.569410666
3.900000000	394.200000000	4.128500000	95.482620807
3.950000000	360.700000000	4.172100000	86.455262338
4.000000000	335.000000000	4.206100000	79.646228097
4.050000000	311.400000000	4.235700000	73.517954529
4.100000000	302.700000000	4.259700000	71.061342348
4.150000000	283.600000000	4.282200000	66.227639998
4.200000000	274.700000000	4.304500000	63.816935765
4.250000000	274.200000000	4.328900000	63.341726536
4.300000000	267.700000000	4.356300000	61.451231550
4.350000000	292.700000000	4.390800000	66.662111688
4.400000000	286.500000000	4.433700000	64.618715745
4.450000000	313.800000000	4.481800000	70.016511223
4.500000000	331.100000000	4.529600000	73.096962204
4.550000000	344.200000000	4.577600000	75.192240475
4.600000000	367.200000000	4.634900000	79.225010248
4.650000000	372.500000000	4.692900000	79.375226406
4.700000000	386.700000000	4.754800000	81.328341886
4.750000000	425.200000000	4.817100000	88.268875464
4.800000000	412.800000000	4.881800000	84.558974149
4.850000000	410.200000000	4.941700000	83.007871785
4.900000000	408.600000000	4.992900000	81.836207415
4.950000000	397.300000000	5.038400000	78.854398222
5.000000000	400.300000000	5.076500000	78.853540825
5.050000000	392.800000000	5.112200000	76.835804546
5.100000000	383.300000000	5.144900000	74.500962118
5.150000000	357.900000000	5.173300000	69.182146792
5.200000000	377.900000000	5.201900000	72.646532998
5.250000000	375.700000000	5.229800000	71.838311216
5.300000000	393.400000000	5.259300000	74.800829008
5.350000000	405.600000000	5.288200000	76.699065845
5.400000000	417.400000000	5.318100000	78.486677573
5.450000000	439.900000000	5.352500000	82.185894442
5.500000000	480.500000000	5.382400000	89.272443520
5.550000000	483.500000000	5.417700000	89.244513354
5.600000000	514.700000000	5.454800000	94.357263328
5.650000000	525.200000000	5.489900000	95.666587734
5.700000000	551.600000000	5.523500000	99.864216529
5.750000000	586.600000000	5.558000000	105.541561713
5.800000000	568.600000000	5.590000000	101.717352415
5.850000000	578.200000000	5.616900000	102.939343766
5.900000000	601.600000000	5.642700000	106.615627271
5.950000000	588.100000000	5.667100000	103.774417250
6.000000000	584.600000000	5.689800000	102.745263454
6.050000000	584.000000000	5.710500000	102.267752386
6.100000000	565.800000000	5.729100000	98.758967377
6.150000000	567.600000000	5.746900000	98.766291392
6.200000000	547.300000000	5.763900000	94.953069970
6.250000000	531.800000000	5.778100000	92.037174850
6.300000000	516.600000000	5.792500000	89.184290030
6.350000000	511.900000000	5.807000000	88.152230067
6.400000000	500.700000000	5.821700000	86.005805864
6.450000000	481.300000000	5.836500000	82.463805363
6.500000000	481.000000000	5.852200000	82.191312669
6.550000000	467.400000000	5.865600000	79.684942717
6.600000000	479.600000000	5.881100000	81.549370016
6.650000000	451.600000000	5.897500000	76.574819839
6.700000000	458.900000000	5.914700000	77.586352647
6.750000000	462.900000000	5.931800000	78.037020803
6.800000000	462.000000000	5.947700000	77.677085260
6.850000000	451.000000000	5.964300000	75.616585349
6.900000000	458.800000000	5.980600000	76.714710899
6.950000000	459.900000000	5.996900000	76.689622972
7.000000000	450.900000000	6.012800000	74.990021288
