eV	CPS	eV	CPS
17	35293	5.8	705.86
17.01	35134	5.79	702.68
17.02	34814	5.78	696.28
17.03	34595	5.77	691.9
17.04	34506	5.76	690.12
17.05	34864	5.75	697.28
17.06	33381	5.74	667.62
17.07	33841	5.73	676.82
17.08	34590	5.72	691.8
17.09	33914	5.71	678.28
17.1	32668	5.7	653.36
17.11	32921	5.69	658.42
17.12	34632	5.68	692.64
17.13	33649	5.67	672.98
17.14	32194	5.66	643.88
17.15	32774	5.65	655.48
17.16	31815	5.64	636.3
17.17	32249	5.63	644.98
17.18	31999	5.62	639.98
17.19	31279	5.61	625.58
17.2	31398	5.6	627.96
17.21	31488	5.59	629.76
17.22	32075	5.58	641.5
17.23	30686	5.57	613.72
17.24	31409	5.56	628.18
17.25	30147	5.55	602.94
17.26	29627	5.54	592.54
17.27	30580	5.53	611.6
17.28	29810	5.52	596.2
17.29	30547	5.51	610.94
17.3	29962	5.5	599.24
17.31	28676	5.49	573.52
17.32	28780	5.48	575.6
17.33	29125	5.47	582.5
17.34	29288	5.46	585.76
17.35	27293	5.45	545.86
17.36	28889	5.44	577.78
17.37	27713	5.43	554.26
17.38	26998	5.42	539.96
17.39	28116	5.41	562.32
17.4	28433	5.4	568.66
17.41	27903	5.39	558.06
17.42	27066	5.38	541.32
17.43	27102	5.37	542.04
17.44	28363	5.36	567.26
17.45	26348	5.35	526.96
17.46	27114	5.34	542.28
17.47	26630	5.33	532.6
17.48	26992	5.32	539.84
17.49	27054	5.31	541.08
17.5	26308	5.3	526.16
17.51	27508	5.29	550.16
17.52	26065	5.28	521.3
17.53	26755	5.27	535.1
17.54	26088	5.26	521.76
17.55	26187	5.25	523.74
17.56	25722	5.24	514.44
17.57	27212	5.23	544.24
17.58	27394	5.22	547.88
17.59	26885	5.21	537.7
17.6	27417	5.2	548.34
17.61	26908	5.19	538.16
17.62	26834	5.18	536.68
17.63	26244	5.17	524.88
17.64	27313	5.16	546.26
17.65	28048	5.15	560.96
17.66	28748	5.14	574.96
17.67	26880	5.13	537.6
17.68	27901	5.12	558.02
17.69	27065	5.11	541.3
17.7	28040	5.1	560.8
17.71	28662	5.09	573.24
17.72	28947	5.08	578.94
17.73	28843	5.07	576.86
17.74	30732	5.06	614.64
17.75	28239	5.05	564.78
17.76	29761	5.04	595.22
17.77	29613	5.03	592.26
17.78	29890	5.02	597.8
17.79	31789	5.01	635.78
17.8	30367	5	607.34
17.81	32080	4.99	641.6
17.82	32329	4.98	646.58
17.83	33361	4.97	667.22
17.84	30567	4.96	611.34
17.85	32559	4.95	651.18
17.86	33119	4.94	662.38
17.87	33847	4.93	676.94
17.88	34170	4.92	683.4
17.89	34083	4.91	681.66
17.9	34982	4.9	699.64
17.91	35253	4.89	705.06
17.92	35823	4.88	716.46
17.93	33532	4.87	670.64
17.94	34965	4.86	699.3
17.95	33850	4.85	677
17.96	35829	4.84	716.58
17.97	36729	4.83	734.58
17.98	34648	4.82	692.96
17.99	35552	4.81	711.04
18	35707	4.8	714.14
18.01	34613	4.79	692.26
18.02	35183	4.78	703.66
18.03	34914	4.77	698.28
18.04	35058	4.76	701.16
18.05	36306	4.75	726.12
18.06	35364	4.74	707.28
18.07	35978	4.73	719.56
18.08	35604	4.72	712.08
18.09	35139	4.71	702.78
18.1	34423	4.7	688.46
18.11	35260	4.69	705.2
18.12	34905	4.68	698.1
18.13	34438	4.67	688.76
18.14	34170	4.66	683.4
18.15	34022	4.65	680.44
18.16	31135	4.64	622.7
18.17	33410	4.63	668.2
18.18	32759	4.62	655.18
18.19	33304	4.61	666.08
18.2	32312	4.6	646.24
18.21	32588	4.59	651.76
18.22	32520	4.58	650.4
18.23	33049	4.57	660.98
18.24	31690	4.56	633.8
18.25	31223	4.55	624.46
18.26	30508	4.54	610.16
18.27	30581	4.53	611.62
18.28	29842	4.52	596.84
18.29	28675	4.51	573.5
18.3	29086	4.5	581.72
18.31	29112	4.49	582.24
18.32	28560	4.48	571.2
18.33	28495	4.47	569.9
18.34	27980	4.46	559.6
18.35	27330	4.45	546.6
18.36	27898	4.44	557.96
18.37	27020	4.43	540.4
18.38	26975	4.42	539.5
18.39	26439	4.41	528.78
18.4	26172	4.4	523.44
18.41	26440	4.39	528.8
18.42	25489	4.38	509.78
18.43	24694	4.37	493.88
18.44	25039	4.36	500.78
18.45	25270	4.35	505.4
18.46	24169	4.34	483.38
18.47	23853	4.33	477.06
18.48	24402	4.32	488.04
18.49	23854	4.31	477.08
18.5	22579	4.3	451.58
18.51	23487	4.29	469.74
18.52	23496	4.28	469.92
18.53	22539	4.27	450.78
18.54	22057	4.26	441.14
18.55	20833	4.25	416.66
18.56	20834	4.24	416.68
18.57	21267	4.23	425.34
18.58	19709	4.22	394.18
18.59	20016	4.21	400.32
18.6	20724	4.2	414.48
18.61	21091	4.19	421.82
18.62	20275	4.18	405.5
18.63	20043	4.17	400.86
18.64	20713	4.16	414.26
18.65	20147	4.15	402.94
18.66	20620	4.14	412.4
