Material : C60(100A)/silver       Fermi energy : 2.33
Start eV : 0.00   End eV : 7.00   Step eV : 0.02   Dwell(sec)1.00   Delay(Sec)0.10   Sweep : 5
Kinetic energy	CPS	Current	CPS/uA
eV	    	uA	    

0.000000000	41.600000000	0.351222400	118.443470576
0.020000000	34.600000000	0.000007860	4402035.623409669
0.040000000	40.400000000	0.000009120	4429824.561403507
0.060000000	40.400000000	0.000011640	3470790.378006872
0.080000000	36.000000000	0.000000900	40000000.000000000
0.100000000	42.600000000	0.000009560	4456066.945606694
0.120000000	39.000000000	0.000012220	3191489.361702127
0.140000000	40.800000000	0.000008340	4892086.330935251
0.160000000	36.200000000	0.000010920	3315018.315018314
0.180000000	39.000000000	0.000012380	3150242.326332794
0.200000000	43.600000000	0.000009560	4560669.456066946
0.220000000	38.400000000	0.000011660	3293310.463121783
0.240000000	43.400000000	0.000009980	4348697.394789578
0.260000000	42.600000000	0.000014140	3012729.844413012
0.280000000	40.600000000	0.000012280	3306188.925081433
0.300000000	44.000000000	0.000010680	4119850.187265918
0.320000000	41.800000000	0.000013660	3060029.282576866
0.340000000	45.000000000	0.000017160	2622377.622377622
0.360000000	42.600000000	0.000011400	3736842.105263158
0.380000000	41.400000000	0.000013900	2978417.266187050
0.400000000	45.400000000	0.000015720	2888040.712468193
0.420000000	43.400000000	0.000012680	3422712.933753944
0.440000000	43.200000000	0.000015620	2765685.019206146
0.460000000	45.000000000	0.000013800	3260869.565217391
0.480000000	37.000000000	0.000018880	1959745.762711864
0.500000000	42.800000000	0.000018200	2351648.351648351
0.520000000	44.400000000	0.000010680	4157303.370786516
0.540000000	40.400000000	0.000021740	1858325.666973321
0.560000000	39.600000000	0.000019340	2047569.803516029
0.580000000	36.600000000	0.000023720	1543001.686340641
0.600000000	37.200000000	0.000027040	1375739.644970414
0.620000000	42.000000000	0.000029040	1446280.991735537
0.640000000	41.600000000	0.000027920	1489971.346704871
0.660000000	46.400000000	0.000036180	1282476.506357103
0.680000000	42.400000000	0.000038740	1094475.993804853
0.700000000	42.000000000	0.000049640	846091.861402095
0.720000000	39.000000000	0.000053580	727883.538633818
0.740000000	46.000000000	0.000064580	712294.828120161
0.760000000	44.400000000	0.000078740	563881.127762255
0.780000000	51.400000000	0.000089360	575201.432408236
0.800000000	38.800000000	0.000108620	357208.617197569
0.820000000	43.200000000	0.000134740	320617.485527683
0.840000000	45.600000000	0.000157340	289818.228041185
0.860000000	41.400000000	0.000190840	216935.652902955
0.880000000	37.200000000	0.000234540	158608.339728831
0.900000000	42.600000000	0.000267140	159466.946170547
0.920000000	46.600000000	0.000322960	144290.314590042
0.940000000	40.600000000	0.000386260	105110.547299746
0.960000000	37.400000000	0.000466600	80154.307758251
0.980000000	40.000000000	0.000579240	69056.004419584
1.000000000	44.200000000	0.000700000	63142.857142857
1.020000000	46.000000000	0.000841840	54642.212296874
1.040000000	44.800000000	0.001035760	43253.263304240
1.060000000	44.400000000	0.001246240	35627.166516883
1.080000000	41.400000000	0.001493180	27726.061158065
1.100000000	38.000000000	0.001840740	20643.871486467
1.120000000	44.400000000	0.002964200	14978.746373389
1.140000000	39.600000000	0.002663600	14867.097161736
1.160000000	40.800000000	0.003110000	13118.971061093
1.180000000	45.400000000	0.003766200	12054.590834263
1.200000000	46.600000000	0.004438400	10499.279019466
1.220000000	44.000000000	0.005091400	8642.023804847
1.240000000	48.400000000	0.005972200	8104.216201735
1.260000000	43.200000000	0.007174400	6021.409455843
1.280000000	49.400000000	0.008436800	5855.300587901
1.300000000	41.800000000	0.009800800	4264.957962615
1.320000000	40.600000000	0.011544400	3516.856657773
1.340000000	47.000000000	0.013334600	3524.665156810
1.360000000	44.600000000	0.015241000	2926.317170789
1.380000000	46.600000000	0.017358000	2684.641087683
1.400000000	40.800000000	0.019866800	2053.677492097
1.420000000	41.000000000	0.023996000	1708.618103017
1.440000000	46.000000000	0.025506000	1803.497216341
1.460000000	48.800000000	0.028978000	1684.036165367
1.480000000	41.200000000	0.033140000	1243.210621605
1.500000000	42.600000000	0.035932000	1185.572748525
1.520000000	44.000000000	0.038888000	1131.454433244
1.540000000	44.000000000	0.042938000	1024.733336439
1.560000000	47.800000000	0.047878000	998.370859267
1.580000000	41.000000000	0.053620000	764.640059679
1.600000000	42.000000000	0.059286000	708.430320818
1.620000000	43.400000000	0.066216000	655.430711610
1.640000000	45.000000000	0.073786000	609.871791397
1.660000000	39.600000000	0.082308000	481.119696749
1.680000000	48.600000000	0.093480000	519.897304236
1.700000000	47.400000000	0.105116000	450.930400700
1.720000000	39.000000000	0.117216000	332.719082719
1.740000000	45.200000000	0.133660000	338.171479874
1.760000000	41.400000000	0.146492000	282.609289244
1.780000000	44.200000000	0.160640000	275.149402390
1.800000000	46.200000000	0.180866000	255.437727378
1.820000000	41.400000000	0.201184000	205.781771910
1.840000000	42.600000000	0.238480000	178.631331768
1.860000000	42.400000000	0.253520000	167.245187756
1.880000000	42.000000000	0.283120000	148.346990675
1.900000000	43.600000000	0.320760000	135.927172964
1.920000000	43.200000000	0.359340000	120.220404074
1.940000000	46.600000000	0.401920000	115.943471338
1.960000000	42.400000000	0.458520000	92.471429818
1.980000000	45.600000000	0.515060000	88.533374752
2.000000000	40.200000000	0.575580000	69.842593558
2.020000000	40.200000000	0.649000000	61.941448382
2.040000000	34.200000000	0.721000000	47.434119279
2.060000000	35.400000000	0.799120000	44.298728601
2.080000000	33.800000000	0.879620000	38.425683818
2.100000000	31.400000000	0.971720000	32.313835261
2.120000000	35.000000000	1.070000000	32.710280374
2.140000000	32.000000000	1.152920000	27.755611838
2.160000000	31.200000000	1.236720000	25.228022511
2.180000000	32.400000000	1.320620000	24.533931032
2.200000000	30.600000000	1.386940000	22.062958744
2.220000000	33.200000000	1.451760000	22.868793740
2.240000000	29.600000000	1.510540000	19.595641294
2.260000000	29.000000000	1.553820000	18.663680478
2.280000000	26.000000000	1.591880000	16.332889414
2.300000000	27.400000000	1.619460000	16.919219987
2.320000000	28.400000000	1.643720000	17.277881878
2.340000000	29.400000000	1.668480000	17.620828539
2.360000000	34.200000000	1.686300000	20.281088774
2.380000000	29.400000000	1.702000000	17.273795535
2.400000000	33.600000000	1.715620000	19.584756531
2.420000000	29.600000000	1.725080000	17.158624528
2.440000000	32.000000000	1.733340000	18.461467456
2.460000000	32.200000000	1.740780000	18.497455164
2.480000000	29.800000000	1.746340000	17.064260110
2.500000000	33.000000000	1.749840000	18.858867096
2.520000000	34.400000000	1.754000000	19.612314709
2.540000000	31.600000000	1.758820000	17.966591237
2.560000000	29.400000000	1.762800000	16.678012253
2.580000000	29.000000000	1.767220000	16.409954618
2.600000000	32.200000000	1.771600000	18.175660420
2.620000000	33.400000000	1.774980000	18.817113432
2.640000000	34.800000000	1.778300000	19.569251532
2.660000000	33.200000000	1.781940000	18.631379283
2.680000000	31.200000000	1.785140000	17.477620803
2.700000000	29.600000000	1.788120000	16.553698857
2.720000000	32.000000000	1.790980000	17.867312868
2.740000000	33.000000000	1.793840000	18.396289524
2.760000000	32.800000000	1.796780000	18.254878171
2.780000000	37.000000000	1.799260000	20.564009648
2.800000000	39.000000000	1.801900000	21.643820412
2.820000000	38.600000000	1.804440000	21.391678305
2.840000000	38.200000000	1.806480000	21.146096276
2.860000000	44.000000000	1.808200000	24.333591417
2.880000000	41.400000000	1.810000000	22.872928177
2.900000000	48.400000000	1.811580000	26.717009461
2.920000000	53.000000000	1.812940000	29.234282436
2.940000000	44.000000000	1.814200000	24.253114320
2.960000000	52.600000000	1.815100000	28.979119608
2.980000000	54.400000000	1.815700000	29.960896624
3.000000000	62.200000000	1.816120000	34.248838182
3.020000000	68.600000000	1.816240000	37.770338722
3.040000000	67.600000000	1.816120000	37.222209986
3.060000000	77.000000000	1.815840000	42.404617147
3.080000000	86.400000000	1.815260000	47.596487556
3.100000000	88.600000000	1.814400000	48.831569665
3.120000000	95.200000000	1.813640000	52.491122825
3.140000000	102.800000000	1.812600000	56.714112325
