Dataset wide:45(20210119)
Dwell Time (s)	0.100000
Number of sweeps	1
Kinetic Energy(eV)	Binding Energy(eV)	Intensity(cps)	Transmission Value
286.690000	1200.000000	50140.000000	5.684839
287.690000	1199.000000	51440.000000	5.689028
288.690000	1198.000000	50350.000000	5.693218
289.690000	1197.000000	49110.000000	5.697407
290.690000	1196.000000	49230.000000	5.701597
291.690000	1195.000000	49800.000000	5.705786
292.690000	1194.000000	50020.000000	5.709976
293.690000	1193.000000	50290.000000	5.714165
294.690000	1192.000000	50690.000000	5.718355
295.690000	1191.000000	51790.000000	5.722545
296.690000	1190.000000	51770.000000	5.726734
297.690000	1189.000000	52090.000000	5.730924
298.690000	1188.000000	52720.000000	5.735113
299.690000	1187.000000	52200.000000	5.739303
300.690000	1186.000000	53680.000000	5.743492
301.690000	1185.000000	54140.000000	5.747682
302.690000	1184.000000	53300.000000	5.751871
303.690000	1183.000000	53530.000000	5.756061
304.690000	1182.000000	52990.000000	5.760250
305.690000	1181.000000	54060.000000	5.764440
306.690000	1180.000000	53470.000000	5.768630
307.690000	1179.000000	53860.000000	5.772819
308.690000	1178.000000	54280.000000	5.777009
309.690000	1177.000000	53680.000000	5.781198
310.690000	1176.000000	53500.000000	5.785388
311.690000	1175.000000	55380.000000	5.789577
312.690000	1174.000000	55200.000000	5.793767
313.690000	1173.000000	55540.000000	5.797956
314.690000	1172.000000	55780.000000	5.802146
315.690000	1171.000000	56280.000000	5.806335
316.690000	1170.000000	55910.000000	5.810525
317.690000	1169.000000	56890.000000	5.814715
318.690000	1168.000000	56760.000000	5.818904
319.690000	1167.000000	56800.000000	5.823094
320.690000	1166.000000	56480.000000	5.827283
321.690000	1165.000000	57390.000000	5.831473
322.690000	1164.000000	56480.000000	5.835662
323.690000	1163.000000	55550.000000	5.839852
324.690000	1162.000000	57500.000000	5.844041
325.690000	1161.000000	56260.000000	5.848231
326.690000	1160.000000	54730.000000	5.852421
327.690000	1159.000000	54850.000000	5.856610
328.690000	1158.000000	54870.000000	5.861690
329.690000	1157.000000	54630.000000	5.867871
330.690000	1156.000000	53670.000000	5.874052
331.690000	1155.000000	53640.000000	5.880232
332.690000	1154.000000	53650.000000	5.886413
333.690000	1153.000000	54760.000000	5.892594
334.690000	1152.000000	54740.000000	5.898775
335.690000	1151.000000	58730.000000	5.904956
336.690000	1150.000000	67040.000000	5.911137
337.690000	1149.000000	92610.000000	5.917318
338.690000	1148.000000	111470.000000	5.923499
339.690000	1147.000000	100250.000000	5.929680
340.690000	1146.000000	84720.000000	5.935860
341.690000	1145.000000	73560.000000	5.942041
342.690000	1144.000000	63020.000000	5.948222
343.690000	1143.000000	59540.000000	5.954403
344.690000	1142.000000	58100.000000	5.960584
345.690000	1141.000000	57670.000000	5.966765
346.690000	1140.000000	57560.000000	5.972946
347.690000	1139.000000	56740.000000	5.979127
348.690000	1138.000000	55590.000000	5.985308
349.690000	1137.000000	55560.000000	5.991488
350.690000	1136.000000	54110.000000	5.997669
351.690000	1135.000000	52100.000000	6.003850
352.690000	1134.000000	51280.000000	6.010031
353.690000	1133.000000	50270.000000	6.016212
354.690000	1132.000000	48010.000000	6.022393
355.690000	1131.000000	48740.000000	6.028574
356.690000	1130.000000	46790.000000	6.034755
357.690000	1129.000000	45760.000000	6.040936
358.690000	1128.000000	45510.000000	6.047116
359.690000	1127.000000	45220.000000	6.053297
360.690000	1126.000000	46420.000000	6.059478
361.690000	1125.000000	48250.000000	6.065659
362.690000	1124.000000	54330.000000	6.071840
363.690000	1123.000000	78650.000000	6.078021
364.690000	1122.000000	135600.000000	6.084202
365.690000	1121.000000	162890.000000	6.090383
366.690000	1120.000000	130070.000000	6.096563
367.690000	1119.000000	97270.000000	6.102744
368.690000	1118.000000	71870.000000	6.108925
369.690000	1117.000000	51390.000000	6.115106
370.690000	1116.000000	44160.000000	6.121287
371.690000	1115.000000	41840.000000	6.127468
372.690000	1114.000000	40980.000000	6.133649
373.690000	1113.000000	41780.000000	6.139830
374.690000	1112.000000	41260.000000	6.146011
375.690000	1111.000000	42590.000000	6.152191
376.690000	1110.000000	42160.000000	6.158372
377.690000	1109.000000	42080.000000	6.164553
378.690000	1108.000000	41020.000000	6.170734
379.690000	1107.000000	41730.000000	6.176915
380.690000	1106.000000	41440.000000	6.183096
381.690000	1105.000000	41010.000000	6.189277
382.690000	1104.000000	41030.000000	6.195458
383.690000	1103.000000	38950.000000	6.201639
384.690000	1102.000000	38540.000000	6.207819
385.690000	1101.000000	39760.000000	6.214000
386.690000	1100.000000	38330.000000	6.220181
387.690000	1099.000000	37050.000000	6.226362
388.690000	1098.000000	38480.000000	6.232543
389.690000	1097.000000	38090.000000	6.238724
390.690000	1096.000000	37510.000000	6.244905
391.690000	1095.000000	37450.000000	6.251086
392.690000	1094.000000	37190.000000	6.257267
393.690000	1093.000000	37990.000000	6.263447
394.690000	1092.000000	38170.000000	6.269628
395.690000	1091.000000	37260.000000	6.275809
396.690000	1090.000000	38280.000000	6.281990
397.690000	1089.000000	38700.000000	6.288171
398.690000	1088.000000	38060.000000	6.294352
399.690000	1087.000000	38090.000000	6.300533
400.690000	1086.000000	38110.000000	6.306714
401.690000	1085.000000	38360.000000	6.312895
402.690000	1084.000000	38240.000000	6.319075
403.690000	1083.000000	38860.000000	6.325256
404.690000	1082.000000	40460.000000	6.331437
405.690000	1081.000000	39580.000000	6.337618
406.690000	1080.000000	39300.000000	6.343799
407.690000	1079.000000	39930.000000	6.349980
408.690000	1078.000000	39980.000000	6.356161
409.690000	1077.000000	39910.000000	6.362342
410.690000	1076.000000	40100.000000	6.368523
411.690000	1075.000000	39820.000000	6.374703
412.690000	1074.000000	39800.000000	6.380884
413.690000	1073.000000	39870.000000	6.387065
414.690000	1072.000000	39920.000000	6.393246
415.690000	1071.000000	40970.000000	6.399427
416.690000	1070.000000	39440.000000	6.405608
417.690000	1069.000000	40140.000000	6.411789
418.690000	1068.000000	41290.000000	6.417970
419.690000	1067.000000	41600.000000	6.424151
420.690000	1066.000000	41430.000000	6.430331
421.690000	1065.000000	40220.000000	6.436512
422.690000	1064.000000	41040.000000	6.442693
423.690000	1063.000000	41220.000000	6.448874
424.690000	1062.000000	40590.000000	6.455055
425.690000	1061.000000	42110.000000	6.461236
426.690000	1060.000000	41760.000000	6.467417
427.690000	1059.000000	41420.000000	6.473598
428.690000	1058.000000	42120.000000	6.479779
429.690000	1057.000000	41490.000000	6.485959
430.690000	1056.000000	42210.000000	6.492140
431.690000	1055.000000	43150.000000	6.498321
432.690000	1054.000000	43050.000000	6.504502
433.690000	1053.000000	43290.000000	6.510683
434.690000	1052.000000	42790.000000	6.516864
435.690000	1051.000000	42850.000000	6.523045
436.690000	1050.000000	43620.000000	6.529226
437.690000	1049.000000	44150.000000	6.535407
438.690000	1048.000000	43870.000000	6.541587
439.690000	1047.000000	43020.000000	6.547768
440.690000	1046.000000	43920.000000	6.553949
441.690000	1045.000000	43870.000000	6.560130
442.690000	1044.000000	44550.000000	6.566311
443.690000	1043.000000	45200.000000	6.572492
444.690000	1042.000000	44660.000000	6.578673
445.690000	1041.000000	44620.000000	6.584854
446.690000	1040.000000	44200.000000	6.591035
447.690000	1039.000000	44390.000000	6.597215
448.690000	1038.000000	45010.000000	6.603396
449.690000	1037.000000	45150.000000	6.609577
450.690000	1036.000000	44220.000000	6.615758
451.690000	1035.000000	45950.000000	6.621939
452.690000	1034.000000	45390.000000	6.628120
453.690000	1033.000000	45560.000000	6.634301
454.690000	1032.000000	46350.000000	6.640482
455.690000	1031.000000	46280.000000	6.646663
456.690000	1030.000000	47420.000000	6.652792
457.690000	1029.000000	46300.000000	6.658895
458.690000	1028.000000	47290.000000	6.664998
459.690000	1027.000000	47750.000000	6.671101
460.690000	1026.000000	47080.000000	6.677204
461.690000	1025.000000	47800.000000	6.683308
462.690000	1024.000000	47940.000000	6.689411
463.690000	1023.000000	47560.000000	6.695514
464.690000	1022.000000	48110.000000	6.701617
465.690000	1021.000000	49660.000000	6.707720
466.690000	1020.000000	49320.000000	6.713823
467.690000	1019.000000	49530.000000	6.719926
468.690000	1018.000000	50670.000000	6.726029
469.690000	1017.000000	50170.000000	6.732132
470.690000	1016.000000	49430.000000	6.738235
471.690000	1015.000000	50770.000000	6.744339
472.690000	1014.000000	50260.000000	6.750442
473.690000	1013.000000	50640.000000	6.756545
474.690000	1012.000000	49700.000000	6.762648
475.690000	1011.000000	49020.000000	6.768751
476.690000	1010.000000	49280.000000	6.774854
477.690000	1009.000000	50320.000000	6.780957
478.690000	1008.000000	52490.000000	6.787060
479.690000	1007.000000	53540.000000	6.793163
480.690000	1006.000000	53910.000000	6.799266
481.690000	1005.000000	54150.000000	6.805370
482.690000	1004.000000	55400.000000	6.811473
483.690000	1003.000000	56160.000000	6.817576
484.690000	1002.000000	56990.000000	6.823679
485.690000	1001.000000	57040.000000	6.829782
486.690000	1000.000000	55560.000000	6.835885
487.690000	999.000000	53940.000000	6.841988
488.690000	998.000000	52970.000000	6.848091
489.690000	997.000000	51780.000000	6.854194
490.690000	996.000000	51170.000000	6.860297
491.690000	995.000000	51600.000000	6.866401
492.690000	994.000000	50570.000000	6.872504
493.690000	993.000000	49450.000000	6.878607
494.690000	992.000000	48910.000000	6.884710
495.690000	991.000000	48280.000000	6.890813
496.690000	990.000000	47990.000000	6.896916
497.690000	989.000000	49550.000000	6.903019
498.690000	988.000000	50370.000000	6.909122
499.690000	987.000000	51990.000000	6.915225
500.690000	986.000000	54010.000000	6.921328
501.690000	985.000000	58420.000000	6.927432
502.690000	984.000000	62330.000000	6.933535
503.690000	983.000000	66760.000000	6.939638
504.690000	982.000000	71150.000000	6.945741
505.690000	981.000000	72670.000000	6.951844
506.690000	980.000000	69230.000000	6.957947
507.690000	979.000000	64960.000000	6.964050
508.690000	978.000000	61740.000000	6.970153
509.690000	977.000000	58420.000000	6.976256
510.690000	976.000000	54780.000000	6.982359
511.690000	975.000000	51740.000000	6.988463
512.690000	974.000000	50040.000000	6.994566
513.690000	973.000000	48390.000000	7.000669
514.690000	972.000000	45480.000000	7.006772
515.690000	971.000000	44040.000000	7.012875
516.690000	970.000000	42580.000000	7.018978
517.690000	969.000000	40350.000000	7.025081
518.690000	968.000000	38900.000000	7.031184
519.690000	967.000000	38830.000000	7.037287
520.690000	966.000000	37950.000000	7.043390
521.690000	965.000000	37250.000000	7.049494
522.690000	964.000000	38380.000000	7.055597
523.690000	963.000000	38360.000000	7.061700
524.690000	962.000000	38060.000000	7.067803
525.690000	961.000000	38780.000000	7.073906
526.690000	960.000000	38570.000000	7.080009
527.690000	959.000000	38380.000000	7.086112
528.690000	958.000000	38280.000000	7.092215
529.690000	957.000000	39290.000000	7.098318
530.690000	956.000000	39680.000000	7.104421
531.690000	955.000000	39110.000000	7.110525
532.690000	954.000000	38860.000000	7.116628
533.690000	953.000000	40000.000000	7.122731
534.690000	952.000000	39210.000000	7.128834
535.690000	951.000000	38830.000000	7.134937
536.690000	950.000000	38420.000000	7.141040
537.690000	949.000000	38810.000000	7.147143
538.690000	948.000000	39460.000000	7.153246
539.690000	947.000000	39710.000000	7.159349
540.690000	946.000000	39460.000000	7.165452
541.690000	945.000000	39590.000000	7.171556
542.690000	944.000000	39000.000000	7.177659
543.690000	943.000000	40880.000000	7.183762
544.690000	942.000000	38990.000000	7.189865
545.690000	941.000000	39720.000000	7.195968
546.690000	940.000000	41090.000000	7.202071
547.690000	939.000000	41000.000000	7.208174
548.690000	938.000000	41060.000000	7.214277
549.690000	937.000000	40320.000000	7.220380
550.690000	936.000000	41400.000000	7.226483
551.690000	935.000000	41200.000000	7.232587
552.690000	934.000000	40910.000000	7.238690
553.690000	933.000000	40640.000000	7.244793
554.690000	932.000000	41070.000000	7.250896
555.690000	931.000000	42070.000000	7.256999
556.690000	930.000000	40700.000000	7.263102
557.690000	929.000000	40690.000000	7.269205
558.690000	928.000000	41550.000000	7.275308
559.690000	927.000000	40510.000000	7.281411
560.690000	926.000000	40370.000000	7.287514
561.690000	925.000000	41140.000000	7.293618
562.690000	924.000000	41540.000000	7.299721
563.690000	923.000000	41510.000000	7.305824
564.690000	922.000000	42070.000000	7.311927
565.690000	921.000000	41740.000000	7.318030
566.690000	920.000000	41660.000000	7.324133
567.690000	919.000000	42800.000000	7.330236
568.690000	918.000000	43350.000000	7.336339
569.690000	917.000000	41710.000000	7.342442
570.690000	916.000000	42260.000000	7.348545
571.690000	915.000000	42070.000000	7.354649
572.690000	914.000000	43110.000000	7.360752
573.690000	913.000000	41770.000000	7.366855
574.690000	912.000000	42560.000000	7.372958
575.690000	911.000000	43040.000000	7.379061
576.690000	910.000000	42660.000000	7.385164
577.690000	909.000000	42990.000000	7.391267
578.690000	908.000000	43270.000000	7.397370
579.690000	907.000000	42780.000000	7.403473
580.690000	906.000000	42920.000000	7.409576
581.690000	905.000000	42680.000000	7.415680
582.690000	904.000000	42620.000000	7.421783
583.690000	903.000000	44360.000000	7.427886
584.690000	902.000000	43830.000000	7.433989
585.690000	901.000000	43910.000000	7.440092
586.690000	900.000000	43920.000000	7.446195
587.690000	899.000000	44710.000000	7.452298
588.690000	898.000000	44180.000000	7.458401
589.690000	897.000000	44900.000000	7.464504
590.690000	896.000000	44760.000000	7.470607
591.690000	895.000000	44140.000000	7.476711
592.690000	894.000000	44390.000000	7.482814
593.690000	893.000000	44190.000000	7.488917
594.690000	892.000000	45180.000000	7.495020
595.690000	891.000000	44810.000000	7.501123
596.690000	890.000000	44580.000000	7.507226
597.690000	889.000000	44990.000000	7.513329
598.690000	888.000000	44820.000000	7.519432
599.690000	887.000000	45410.000000	7.525535
600.690000	886.000000	44490.000000	7.531639
601.690000	885.000000	44740.000000	7.537742
602.690000	884.000000	45280.000000	7.543845
603.690000	883.000000	45680.000000	7.549948
604.690000	882.000000	46360.000000	7.556051
605.690000	881.000000	46130.000000	7.562154
606.690000	880.000000	45690.000000	7.568257
607.690000	879.000000	46250.000000	7.574360
608.690000	878.000000	45530.000000	7.580463
609.690000	877.000000	46620.000000	7.586566
610.690000	876.000000	47270.000000	7.592670
