#energy geo_1 
400 7.24956e-07 
400.53 7.24247e-07 
401.061 7.23508e-07 
401.591 7.22746e-07 
402.121 7.21963e-07 
402.651 7.21163e-07 
403.182 7.20361e-07 
403.712 7.19565e-07 
404.242 7.18787e-07 
404.772 7.18044e-07 
405.303 7.17357e-07 
405.833 7.16754e-07 
406.363 7.16266e-07 
406.894 7.15938e-07 
407.424 7.1583e-07 
407.954 7.16017e-07 
408.484 7.16604e-07 
409.015 7.1774e-07 
409.545 7.19633e-07 
410.075 7.2259e-07 
410.605 7.27074e-07 
411.136 7.33814e-07 
411.666 7.4401e-07 
412.196 7.59745e-07 
412.727 7.84879e-07 
413.257 8.27183e-07 
413.787 9.03969e-07 
414.317 1.0587e-06 
414.848 1.41212e-06 
415.378 2.21456e-06 
415.908 2.70653e-06 
416.438 1.81645e-06 
416.969 1.22716e-06 
417.499 9.755e-07 
418.029 8.58535e-07 
418.56 7.96867e-07 
419.09 7.60927e-07 
419.62 7.38339e-07 
420.15 7.2331e-07 
420.681 7.12863e-07 
421.211 7.05347e-07 
421.741 6.99791e-07 
422.271 6.95594e-07 
422.802 6.92369e-07 
423.332 6.89857e-07 
423.862 6.8788e-07 
424.393 6.86312e-07 
424.923 6.85063e-07 
425.453 6.84065e-07 
425.983 6.8327e-07 
426.514 6.82637e-07 
427.044 6.82139e-07 
427.574 6.81752e-07 
428.104 6.81457e-07 
428.635 6.81241e-07 
429.165 6.81091e-07 
429.695 6.80997e-07 
430.226 6.80952e-07 
430.756 6.80949e-07 
431.286 6.80983e-07 
431.816 6.81049e-07 
432.347 6.81143e-07 
432.877 6.81262e-07 
433.407 6.81403e-07 
433.938 6.81563e-07 
434.468 6.81741e-07 
434.998 6.81935e-07 
435.528 6.82142e-07 
436.059 6.82362e-07 
436.589 6.82593e-07 
437.119 6.82833e-07 
437.649 6.83083e-07 
438.18 6.83341e-07 
438.71 6.83605e-07 
439.24 6.83877e-07 
439.771 6.84154e-07 
440.301 6.84436e-07 
440.831 6.84722e-07 
441.361 6.85012e-07 
441.892 6.85305e-07 
442.422 6.85601e-07 
442.952 6.85899e-07 
443.482 6.86198e-07 
444.013 6.86499e-07 
444.543 6.868e-07 
445.073 6.87102e-07 
445.604 6.87403e-07 
446.134 6.87704e-07 
446.664 6.88004e-07 
447.194 6.88303e-07 
447.725 6.88599e-07 
448.255 6.88893e-07 
448.785 6.89185e-07 
449.315 6.89474e-07 
449.846 6.89759e-07 
450.376 6.90041e-07 
450.906 6.90319e-07 
451.437 6.90594e-07 
451.967 6.90863e-07 
452.497 6.91129e-07 
453.027 6.9139e-07 
453.558 6.91646e-07 
454.088 6.91897e-07 
454.618 6.92145e-07 
455.148 6.92388e-07 
455.679 6.92627e-07 
456.209 6.92864e-07 
456.739 6.93097e-07 
457.27 6.93329e-07 
457.8 6.93559e-07 
458.33 6.93791e-07 
458.86 6.94024e-07 
459.391 6.94262e-07 
459.921 6.94507e-07 
460.451 6.94761e-07 
460.981 6.95028e-07 
461.512 6.95313e-07 
462.042 6.95619e-07 
462.572 6.95955e-07 
463.103 6.96326e-07 
463.633 6.96741e-07 
464.163 6.97213e-07 
464.693 6.97752e-07 
465.224 6.98375e-07 
465.754 6.991e-07 
466.284 6.99951e-07 
466.814 7.00958e-07 
467.345 7.02153e-07 
467.875 7.03583e-07 
468.405 7.05302e-07 
468.936 7.07381e-07 
469.466 7.09906e-07 
469.996 7.12993e-07 
470.526 7.16784e-07 
471.057 7.21466e-07 
471.587 7.27276e-07 
472.117 7.34515e-07 
472.647 7.43555e-07 
473.178 7.54832e-07 
473.708 7.68803e-07 
474.238 7.85819e-07 
474.769 8.05838e-07 
475.299 8.27924e-07 
475.829 8.49626e-07 
476.359 8.66779e-07 
476.89 8.7467e-07 
477.42 8.7061e-07 
477.95 8.5582e-07 
478.48 8.34528e-07 
479.011 8.11338e-07 
479.541 7.89429e-07 
480.071 7.70302e-07 
480.602 7.54309e-07 
481.132 7.41233e-07 
481.662 7.30653e-07 
482.192 7.22134e-07 
482.723 7.1529e-07 
483.253 7.09813e-07 
483.783 7.05464e-07 
484.313 7.02066e-07 
484.844 6.99491e-07 
485.374 6.97657e-07 
485.904 6.96517e-07 
486.435 6.96054e-07 
486.965 6.96286e-07 
487.495 6.97259e-07 
488.025 6.99054e-07 
488.556 7.01791e-07 
489.086 7.05637e-07 
489.616 7.10817e-07 
490.146 7.17628e-07 
490.677 7.26459e-07 
491.207 7.37814e-07 
491.737 7.52332e-07 
492.268 7.70803e-07 
492.798 7.94135e-07 
493.328 8.23242e-07 
493.858 8.58716e-07 
494.389 9.00155e-07 
494.919 9.45025e-07 
495.449 9.87462e-07 
495.979 1.01834e-06 
496.51 1.02847e-06 
497.04 1.01401e-06 
497.57 9.79216e-07 
498.101 9.3338e-07 
498.631 8.85458e-07 
499.161 8.41142e-07 
499.691 8.02873e-07 
500.222 7.71027e-07 
500.752 7.45021e-07 
501.282 7.23967e-07 
501.812 7.06987e-07 
502.343 6.9333e-07 
502.873 6.82396e-07 
503.403 6.73727e-07 
503.934 6.66987e-07 
504.464 6.61939e-07 
504.994 6.58431e-07 
505.524 6.56385e-07 
506.055 6.55786e-07 
506.585 6.56684e-07 
507.115 6.59195e-07 
507.646 6.63504e-07 
508.176 6.69882e-07 
508.706 6.78699e-07 
509.236 6.90453e-07 
509.767 7.05798e-07 
510.297 7.25589e-07 
510.827 7.50928e-07 
511.357 7.83208e-07 
511.888 8.24122e-07 
512.418 8.75582e-07 
512.948 9.39395e-07 
513.479 1.01647e-06 
514.009 1.10517e-06 
514.539 1.19888e-06 
515.069 1.28372e-06 
515.6 1.34e-06 
516.13 1.35029e-06 
516.66 1.31044e-06 
517.19 1.23243e-06 
517.721 1.13612e-06 
518.251 1.03869e-06 
518.781 9.50229e-07 
519.312 8.74563e-07 
519.842 8.11834e-07 
520.372 7.60565e-07 
520.902 7.18839e-07 
521.433 6.84822e-07 
521.963 6.56955e-07 
522.493 6.33975e-07 
523.023 6.14883e-07 
523.554 5.989e-07 
524.084 5.85418e-07 
524.614 5.73962e-07 
525.145 5.6416e-07 
525.675 5.55718e-07 
526.205 5.48403e-07 
526.735 5.42027e-07 
527.266 5.3644e-07 
527.796 5.31521e-07 
528.326 5.27168e-07 
528.856 5.23302e-07 
529.387 5.19853e-07 
529.917 5.16765e-07 
530.447 5.13992e-07 
530.978 5.11492e-07 
531.508 5.09232e-07 
532.038 5.07185e-07 
532.568 5.05324e-07 
533.099 5.03629e-07 
533.629 5.02083e-07 
534.159 5.00668e-07 
534.689 4.99372e-07 
535.22 4.98182e-07 
535.75 4.97089e-07 
536.28 4.96082e-07 
536.811 4.95154e-07 
537.341 4.94297e-07 
537.871 4.93506e-07 
538.401 4.92775e-07 
538.932 4.92098e-07 
539.462 4.91471e-07 
539.992 4.9089e-07 
540.522 4.90351e-07 
541.053 4.89851e-07 
541.583 4.89387e-07 
542.113 4.88957e-07 
542.644 4.88558e-07 
543.174 4.88187e-07 
543.704 4.87843e-07 
544.234 4.87524e-07 
544.765 4.87228e-07 
545.295 4.86954e-07 
545.825 4.86701e-07 
546.355 4.86466e-07 
546.886 4.86249e-07 
547.416 4.86049e-07 
547.946 4.85865e-07 
548.477 4.85695e-07 
549.007 4.8554e-07 
549.537 4.85398e-07 
550.067 4.85268e-07 
550.598 4.8515e-07 
551.128 4.85043e-07 
551.658 4.84946e-07 
552.188 4.8486e-07 
552.719 4.84783e-07 
553.249 4.84715e-07 
553.779 4.84655e-07 
554.31 4.84604e-07 
554.84 4.8456e-07 
555.37 4.84524e-07 
555.9 4.84494e-07 
556.431 4.84472e-07 
556.961 4.84455e-07 
557.491 4.84445e-07 
558.021 4.84441e-07 
558.552 4.84442e-07 
559.082 4.84449e-07 
559.612 4.84461e-07 
560.143 4.84477e-07 
560.673 4.84499e-07 
561.203 4.84524e-07 
561.733 4.84554e-07 
562.264 4.84589e-07 
562.794 4.84627e-07 
563.324 4.8467e-07 
563.854 4.84716e-07 
564.385 4.84766e-07 
564.915 4.84819e-07 
565.445 4.84875e-07 
565.976 4.84934e-07 
566.506 4.84997e-07 
567.036 4.85062e-07 
567.566 4.85131e-07 
568.097 4.85202e-07 
568.627 4.85276e-07 
569.157 4.85353e-07 
569.688 4.85432e-07 
570.218 4.85514e-07 
570.748 4.85598e-07 
571.278 4.85684e-07 
571.809 4.85772e-07 
572.339 4.85863e-07 
572.869 4.85956e-07 
573.399 4.86051e-07 
573.93 4.86147e-07 
574.46 4.86246e-07 
574.99 4.86347e-07 
575.521 4.86449e-07 
576.051 4.86554e-07 
576.581 4.86659e-07 
577.111 4.86767e-07 
577.642 4.86876e-07 
578.172 4.86987e-07 
578.702 4.87099e-07 
579.232 4.87213e-07 
579.763 4.87328e-07 
580.293 4.87445e-07 
580.823 4.87563e-07 
581.354 4.87683e-07 
581.884 4.87804e-07 
582.414 4.87926e-07 
582.944 4.88049e-07 
583.475 4.88174e-07 
584.005 4.883e-07 
584.535 4.88427e-07 
585.065 4.88555e-07 
585.596 4.88685e-07 
586.126 4.88815e-07 
586.656 4.88947e-07 
587.187 4.8908e-07 
587.717 4.89214e-07 
588.247 4.89349e-07 
588.777 4.89485e-07 
589.308 4.89621e-07 
589.838 4.8976e-07 
590.368 4.89898e-07 
590.898 4.90038e-07 
591.429 4.90179e-07 
591.959 4.9032e-07 
592.489 4.90463e-07 
593.02 4.90606e-07 
593.55 4.9075e-07 
594.08 4.90895e-07 
594.61 4.91042e-07 
595.141 4.91188e-07 
595.671 4.91336e-07 
596.201 4.91484e-07 
596.731 4.91634e-07 
597.262 4.91783e-07 
597.792 4.91934e-07 
598.322 4.92086e-07 
598.853 4.92238e-07 
599.383 4.92391e-07 
599.913 4.92545e-07 
600.443 4.92699e-07 
600.974 4.92854e-07 
601.504 4.9301e-07 
602.034 4.93167e-07 
602.564 4.93324e-07 
603.095 4.93482e-07 
603.625 4.9364e-07 
604.155 4.93799e-07 
604.686 4.93959e-07 
605.216 4.94119e-07 
605.746 4.9428e-07 
606.276 4.94442e-07 
606.807 4.94604e-07 
607.337 4.94767e-07 
607.867 4.94931e-07 
608.397 4.95095e-07 
608.928 4.9526e-07 
609.458 4.95425e-07 
609.988 4.95591e-07 
610.519 4.95757e-07 
611.049 4.95924e-07 
611.579 4.96092e-07 
612.109 4.9626e-07 
612.64 4.96428e-07 
613.17 4.96597e-07 
613.7 4.96767e-07 
614.23 4.96938e-07 
614.761 4.97109e-07 
615.291 4.9728e-07 
615.821 4.97452e-07 
616.352 4.97624e-07 
616.882 4.97797e-07 
617.412 4.97971e-07 
617.942 4.98145e-07 
618.473 4.98319e-07 
619.003 4.98494e-07 
619.533 4.9867e-07 
620.063 4.98846e-07 
620.594 4.99023e-07 
621.124 4.99199e-07 
621.654 4.99377e-07 
622.185 4.99555e-07 
622.715 4.99733e-07 
623.245 4.99912e-07 
623.775 5.00092e-07 
624.306 5.00271e-07 
624.836 5.00451e-07 
625.366 5.00632e-07 
625.896 5.00813e-07 
626.427 5.00995e-07 
626.957 5.01177e-07 
627.487 5.0136e-07 
628.018 5.01543e-07 
628.548 5.01727e-07 
629.078 5.0191e-07 
629.608 5.02095e-07 
630.139 5.0228e-07 
630.669 5.02465e-07 
631.199 5.02651e-07 
631.729 5.02837e-07 
632.26 5.03024e-07 
632.79 5.03211e-07 
633.32 5.03399e-07 
633.851 5.03587e-07 
634.381 5.03775e-07 
634.911 5.03964e-07 
635.441 5.04153e-07 
635.972 5.04343e-07 
636.502 5.04533e-07 
637.032 5.04724e-07 
637.562 5.04914e-07 
638.093 5.05106e-07 
638.623 5.05298e-07 
639.153 5.0549e-07 
639.684 5.05683e-07 
640.214 5.05876e-07 
640.744 5.0607e-07 
641.274 5.06263e-07 
641.805 5.06458e-07 
642.335 5.06653e-07 
642.865 5.06848e-07 
643.396 5.07044e-07 
643.926 5.0724e-07 
644.456 5.07436e-07 
644.986 5.07633e-07 
645.517 5.0783e-07 
646.047 5.08028e-07 
646.577 5.08226e-07 
647.107 5.08425e-07 
647.638 5.08624e-07 
