#energy geo_1 
400 2.19782e-06 
400.53 2.19872e-06 
401.061 2.19962e-06 
401.591 2.20051e-06 
402.121 2.2014e-06 
402.651 2.20229e-06 
403.182 2.20317e-06 
403.712 2.20405e-06 
404.242 2.20494e-06 
404.772 2.20582e-06 
405.303 2.20671e-06 
405.833 2.20759e-06 
406.363 2.20849e-06 
406.894 2.2094e-06 
407.424 2.21033e-06 
407.954 2.21127e-06 
408.484 2.21224e-06 
409.015 2.21324e-06 
409.545 2.21428e-06 
410.075 2.21538e-06 
410.605 2.21655e-06 
411.136 2.2178e-06 
411.666 2.21918e-06 
412.196 2.22072e-06 
412.727 2.2225e-06 
413.257 2.22464e-06 
413.787 2.22739e-06 
414.317 2.23135e-06 
414.848 2.23807e-06 
415.378 2.25078e-06 
415.908 2.26003e-06 
416.438 2.25251e-06 
416.969 2.24946e-06 
417.499 2.25154e-06 
418.029 2.25642e-06 
418.56 2.26335e-06 
419.09 2.27219e-06 
419.62 2.28284e-06 
420.15 2.29493e-06 
420.681 2.3074e-06 
421.211 2.31832e-06 
421.741 2.32519e-06 
422.271 2.32614e-06 
422.802 2.32123e-06 
423.332 2.31239e-06 
423.862 2.30218e-06 
424.393 2.29254e-06 
424.923 2.28454e-06 
425.453 2.27857e-06 
425.983 2.27468e-06 
426.514 2.27277e-06 
427.044 2.27277e-06 
427.574 2.27457e-06 
428.104 2.27808e-06 
428.635 2.28309e-06 
429.165 2.2892e-06 
429.695 2.29557e-06 
430.226 2.30084e-06 
430.756 2.30335e-06 
431.286 2.30187e-06 
431.816 2.29647e-06 
432.347 2.28848e-06 
432.877 2.27958e-06 
433.407 2.27106e-06 
433.938 2.26356e-06 
434.468 2.25726e-06 
434.998 2.25212e-06 
435.528 2.24796e-06 
436.059 2.24463e-06 
436.589 2.24194e-06 
437.119 2.23971e-06 
437.649 2.2378e-06 
438.18 2.23607e-06 
438.71 2.23445e-06 
439.24 2.23295e-06 
439.771 2.2316e-06 
440.301 2.23043e-06 
440.831 2.22946e-06 
441.361 2.2287e-06 
441.892 2.22816e-06 
442.422 2.22785e-06 
442.952 2.22778e-06 
443.482 2.22799e-06 
444.013 2.22851e-06 
444.543 2.22939e-06 
445.073 2.2307e-06 
445.604 2.23252e-06 
446.134 2.23496e-06 
446.664 2.23814e-06 
447.194 2.24221e-06 
447.725 2.24738e-06 
448.255 2.25391e-06 
448.785 2.26213e-06 
449.315 2.27248e-06 
449.846 2.28553e-06 
450.376 2.30197e-06 
450.906 2.32269e-06 
451.437 2.34878e-06 
451.967 2.38157e-06 
452.497 2.42252e-06 
453.027 2.47298e-06 
453.558 2.53354e-06 
454.088 2.60265e-06 
454.618 2.67476e-06 
455.148 2.73868e-06 
455.679 2.77934e-06 
456.209 2.78456e-06 
456.739 2.75319e-06 
457.27 2.69597e-06 
457.8 2.62837e-06 
458.33 2.56296e-06 
458.86 2.50684e-06 
459.391 2.46274e-06 
459.921 2.43104e-06 
460.451 2.41124e-06 
460.981 2.40275e-06 
461.512 2.40516e-06 
462.042 2.41819e-06 
462.572 2.44125e-06 
463.103 2.47252e-06 
463.633 2.50761e-06 
464.163 2.53861e-06 
464.693 2.55519e-06 
465.224 2.54917e-06 
465.754 2.51972e-06 
466.284 2.4738e-06 
466.814 2.42127e-06 
467.345 2.37002e-06 
467.875 2.32431e-06 
468.405 2.2855e-06 
468.936 2.25342e-06 
469.466 2.2272e-06 
469.996 2.20586e-06 
470.526 2.1885e-06 
471.057 2.17438e-06 
471.587 2.16289e-06 
472.117 2.15359e-06 
472.647 2.14614e-06 
473.178 2.14029e-06 
473.708 2.13589e-06 
474.238 2.1328e-06 
474.769 2.13094e-06 
475.299 2.13021e-06 
475.829 2.13043e-06 
476.359 2.13138e-06 
476.89 2.13284e-06 
477.42 2.13478e-06 
477.95 2.13747e-06 
478.48 2.14147e-06 
479.011 2.14738e-06 
479.541 2.15568e-06 
480.071 2.1666e-06 
480.602 2.17982e-06 
481.132 2.19416e-06 
481.662 2.20724e-06 
482.192 2.21593e-06 
482.723 2.21778e-06 
483.253 2.2127e-06 
483.783 2.20309e-06 
484.313 2.19231e-06 
484.844 2.18317e-06 
485.374 2.17739e-06 
485.904 2.17587e-06 
486.435 2.17907e-06 
486.965 2.18736e-06 
487.495 2.20102e-06 
488.025 2.22018e-06 
488.556 2.24434e-06 
489.086 2.27175e-06 
489.616 2.2987e-06 
490.146 2.31967e-06 
490.677 2.32919e-06 
491.207 2.32457e-06 
491.737 2.30731e-06 
492.268 2.28204e-06 
492.798 2.25424e-06 
493.328 2.22828e-06 
493.858 2.20674e-06 
494.389 2.19061e-06 
494.919 2.17987e-06 
495.449 2.17393e-06 
495.979 2.1719e-06 
496.51 2.17291e-06 
497.04 2.17635e-06 
497.57 2.1818e-06 
498.101 2.18835e-06 
498.631 2.19402e-06 
499.161 2.19577e-06 
499.691 2.19099e-06 
500.222 2.17923e-06 
500.752 2.16252e-06 
501.282 2.14395e-06 
501.812 2.12604e-06 
502.343 2.11017e-06 
502.873 2.09678e-06 
503.403 2.08578e-06 
503.934 2.07687e-06 
504.464 2.06971e-06 
504.994 2.06397e-06 
505.524 2.0594e-06 
506.055 2.05578e-06 
506.585 2.05295e-06 
507.115 2.05078e-06 
507.646 2.04918e-06 
508.176 2.0481e-06 
508.706 2.04748e-06 
509.236 2.04731e-06 
509.767 2.04759e-06 
510.297 2.04834e-06 
510.827 2.0496e-06 
511.357 2.05145e-06 
511.888 2.05398e-06 
512.418 2.05729e-06 
512.948 2.0615e-06 
513.479 2.06663e-06 
514.009 2.07259e-06 
514.539 2.07891e-06 
515.069 2.08467e-06 
515.6 2.08855e-06 
516.13 2.08939e-06 
516.66 2.08692e-06 
517.19 2.08192e-06 
517.721 2.0757e-06 
518.251 2.06939e-06 
518.781 2.06367e-06 
519.312 2.05877e-06 
519.842 2.05471e-06 
520.372 2.05139e-06 
520.902 2.04868e-06 
521.433 2.04646e-06 
521.963 2.04461e-06 
