#energy geo_1 
400 2.02975e-06 
400.53 2.03015e-06 
401.061 2.03053e-06 
401.591 2.0309e-06 
402.121 2.03126e-06 
402.651 2.03161e-06 
403.182 2.03195e-06 
403.712 2.03228e-06 
404.242 2.03261e-06 
404.772 2.03293e-06 
405.303 2.03325e-06 
405.833 2.03357e-06 
406.363 2.03389e-06 
406.894 2.03423e-06 
407.424 2.03458e-06 
407.954 2.03495e-06 
408.484 2.03535e-06 
409.015 2.03578e-06 
409.545 2.03626e-06 
410.075 2.0368e-06 
410.605 2.03741e-06 
411.136 2.03814e-06 
411.666 2.03906e-06 
412.196 2.04033e-06 
412.727 2.04219e-06 
413.257 2.04509e-06 
413.787 2.05006e-06 
414.317 2.05961e-06 
414.848 2.08071e-06 
415.378 2.12777e-06 
415.908 2.15723e-06 
416.438 2.10755e-06 
416.969 2.0755e-06 
417.499 2.06324e-06 
418.029 2.05924e-06 
418.56 2.05902e-06 
419.09 2.06099e-06 
419.62 2.06446e-06 
420.15 2.06896e-06 
420.681 2.0739e-06 
421.211 2.07831e-06 
421.741 2.08104e-06 
422.271 2.08125e-06 
422.802 2.07895e-06 
423.332 2.07498e-06 
423.862 2.07048e-06 
424.393 2.06632e-06 
424.923 2.06298e-06 
425.453 2.06064e-06 
425.983 2.05934e-06 
426.514 2.05905e-06 
427.044 2.05971e-06 
427.574 2.0612e-06 
428.104 2.06335e-06 
428.635 2.06589e-06 
429.165 2.06849e-06 
429.695 2.07076e-06 
430.226 2.07226e-06 
430.756 2.07246e-06 
431.286 2.071e-06 
431.816 2.06802e-06 
432.347 2.0641e-06 
432.877 2.05993e-06 
433.407 2.05603e-06 
433.938 2.05261e-06 
434.468 2.04974e-06 
434.998 2.04738e-06 
435.528 2.04552e-06 
436.059 2.04408e-06 
436.589 2.04298e-06 
437.119 2.04204e-06 
437.649 2.04106e-06 
438.18 2.03987e-06 
438.71 2.03843e-06 
439.24 2.0368e-06 
439.771 2.03514e-06 
440.301 2.03355e-06 
440.831 2.03211e-06 
441.361 2.03083e-06 
441.892 2.02971e-06 
442.422 2.02875e-06 
442.952 2.02793e-06 
443.482 2.02727e-06 
444.013 2.02676e-06 
444.543 2.02641e-06 
445.073 2.02625e-06 
445.604 2.0263e-06 
446.134 2.02661e-06 
446.664 2.02724e-06 
447.194 2.02824e-06 
447.725 2.02971e-06 
448.255 2.03176e-06 
448.785 2.03454e-06 
449.315 2.03824e-06 
449.846 2.04308e-06 
450.376 2.04937e-06 
450.906 2.05748e-06 
451.437 2.06788e-06 
451.967 2.0811e-06 
452.497 2.09773e-06 
453.027 2.11831e-06 
453.558 2.14307e-06 
454.088 2.17138e-06 
454.618 2.20094e-06 
455.148 2.2271e-06 
455.679 2.24354e-06 
456.209 2.24516e-06 
456.739 2.23146e-06 
457.27 2.207e-06 
457.8 2.17829e-06 
458.33 2.15063e-06 
458.86 2.12704e-06 
459.391 2.10868e-06 
459.921 2.09574e-06 
460.451 2.08805e-06 
460.981 2.08538e-06 
461.512 2.0876e-06 
462.042 2.09459e-06 
462.572 2.10614e-06 
463.103 2.1214e-06 
463.633 2.13835e-06 
464.163 2.15327e-06 
464.693 2.16128e-06 
465.224 2.15853e-06 
465.754 2.14465e-06 
466.284 2.12298e-06 
466.814 2.09819e-06 
467.345 2.07406e-06 
467.875 2.05259e-06 
468.405 2.03445e-06 
468.936 2.01955e-06 
469.466 2.00751e-06 
469.996 1.99785e-06 
470.526 1.99019e-06 
471.057 1.98418e-06 
471.587 1.97957e-06 
472.117 1.97621e-06 
472.647 1.97397e-06 
473.178 1.9728e-06 
473.708 1.97269e-06 
474.238 1.97363e-06 
474.769 1.97558e-06 
475.299 1.97834e-06 
475.829 1.98149e-06 
476.359 1.98431e-06 
476.89 1.98602e-06 
477.42 1.98623e-06 
477.95 1.98523e-06 
478.48 1.98389e-06 
479.011 1.98316e-06 
479.541 1.98373e-06 
480.071 1.98591e-06 
480.602 1.98961e-06 
481.132 1.99425e-06 
481.662 1.99868e-06 
482.192 2.00137e-06 
482.723 2.00114e-06 
483.253 1.99791e-06 
483.783 1.99276e-06 
484.313 1.98721e-06 
484.844 1.98256e-06 
485.374 1.97959e-06 
485.904 1.97872e-06 
486.435 1.98016e-06 
486.965 1.98408e-06 
487.495 1.99064e-06 
488.025 1.99991e-06 
488.556 2.01169e-06 
489.086 2.02521e-06 
489.616 2.03877e-06 
490.146 2.04987e-06 
490.677 2.05597e-06 
491.207 2.05586e-06 
491.737 2.05027e-06 
492.268 2.04146e-06 
492.798 2.03213e-06 
493.328 2.02451e-06 
493.858 2.01993e-06 
494.389 2.01882e-06 
494.919 2.02079e-06 
495.449 2.02469e-06 
495.979 2.02873e-06 
496.51 2.03109e-06 
497.04 2.03091e-06 
497.57 2.02863e-06 
498.101 2.02523e-06 
498.631 2.02108e-06 
499.161 2.01559e-06 
499.691 2.00786e-06 
500.222 1.99773e-06 
500.752 1.9861e-06 
501.282 1.97432e-06 
501.812 1.96348e-06 
502.343 1.95412e-06 
502.873 1.94638e-06 
503.403 1.94014e-06 
503.934 1.93521e-06 
504.464 1.93137e-06 
504.994 1.92845e-06 
505.524 1.92631e-06 
506.055 1.92483e-06 
506.585 1.92396e-06 
507.115 1.92363e-06 
507.646 1.92384e-06 
508.176 1.92458e-06 
508.706 1.92588e-06 
509.236 1.9278e-06 
509.767 1.93044e-06 
510.297 1.93391e-06 
510.827 1.93838e-06 
511.357 1.94409e-06 
511.888 1.95129e-06 
512.418 1.96031e-06 
512.948 1.97144e-06 
513.479 1.98482e-06 
514.009 2.00016e-06 
514.539 2.01636e-06 
515.069 2.03105e-06 
515.6 2.04092e-06 
516.13 2.04302e-06 
516.66 2.03666e-06 
517.19 2.02384e-06 
517.721 2.00791e-06 
518.251 1.99177e-06 
518.781 1.97712e-06 
519.312 1.9646e-06 
519.842 1.95423e-06 
520.372 1.94578e-06 
520.902 1.93891e-06 
521.433 1.93332e-06 
521.963 1.92875e-06 
522.493 1.92499e-06 
523.023 1.92186e-06 
523.554 1.91925e-06 
524.084 1.91704e-06 
524.614 1.91517e-06 
525.145 1.91355e-06 
525.675 1.91213e-06 
526.205 1.91083e-06 
526.735 1.90958e-06 
527.266 1.90832e-06 
527.796 1.90704e-06 
528.326 1.90574e-06 
528.856 1.90444e-06 
529.387 1.90318e-06 
529.917 1.90195e-06 
530.447 1.90075e-06 
530.978 1.89957e-06 
531.508 1.89841e-06 
532.038 1.89726e-06 
532.568 1.89612e-06 
533.099 1.89497e-06 
533.629 1.89382e-06 
534.159 1.89267e-06 
534.689 1.89153e-06 
535.22 1.89039e-06 
535.75 1.88927e-06 
536.28 1.88818e-06 
536.811 1.88713e-06 
537.341 1.88614e-06 
537.871 1.88524e-06 
538.401 1.88448e-06 
538.932 1.88389e-06 
539.462 1.88355e-06 
539.992 1.88356e-06 
540.522 1.88406e-06 
541.053 1.88525e-06 
541.583 1.88745e-06 
542.113 1.89118e-06 
542.644 1.89728e-06 
543.174 1.90727e-06 
543.704 1.92402e-06 
544.234 1.95358e-06 
544.765 2.00998e-06 
545.295 2.13022e-06 
545.825 2.41501e-06 
546.355 2.92606e-06 
546.886 2.84086e-06 
547.416 2.38307e-06 
547.946 2.11749e-06 
548.477 2.00075e-06 
549.007 1.94519e-06 
549.537 1.91557e-06 
550.067 1.89842e-06 
550.598 1.88799e-06 
551.128 1.88155e-06 
551.658 1.87771e-06 
552.188 1.87571e-06 
552.719 1.87516e-06 
553.249 1.87584e-06 
553.779 1.87767e-06 
554.31 1.88058e-06 
554.84 1.88444e-06 
555.37 1.88893e-06 
555.9 1.89341e-06 
556.431 1.89686e-06 
556.961 1.89824e-06 
557.491 1.89704e-06 
558.021 1.89363e-06 
558.552 1.88898e-06 
559.082 1.88407e-06 
559.612 1.87955e-06 
560.143 1.87572e-06 
