#energy geo_1 
400 6.52711e-07 
400.53 6.52445e-07 
401.061 6.52164e-07 
401.591 6.51872e-07 
402.121 6.5157e-07 
402.651 6.5126e-07 
403.182 6.50947e-07 
403.712 6.50639e-07 
404.242 6.5034e-07 
404.772 6.50056e-07 
405.303 6.49802e-07 
405.833 6.49588e-07 
406.363 6.49431e-07 
406.894 6.49352e-07 
407.424 6.49381e-07 
407.954 6.49556e-07 
408.484 6.49927e-07 
409.015 6.50568e-07 
409.545 6.51581e-07 
410.075 6.53117e-07 
410.605 6.55402e-07 
411.136 6.58797e-07 
411.666 6.63889e-07 
412.196 6.71702e-07 
412.727 6.84132e-07 
413.257 7.04997e-07 
413.787 7.42799e-07 
414.317 8.18885e-07 
414.848 9.92569e-07 
415.378 1.3868e-06 
415.908 1.62855e-06 
416.438 1.19145e-06 
416.969 9.02106e-07 
417.499 7.786e-07 
418.029 7.21255e-07 
418.56 6.91072e-07 
419.09 6.73526e-07 
419.62 6.62539e-07 
420.15 6.55267e-07 
420.681 6.50245e-07 
421.211 6.46664e-07 
421.741 6.44046e-07 
422.271 6.42095e-07 
422.802 6.40623e-07 
423.332 6.39501e-07 
423.862 6.38643e-07 
424.393 6.37986e-07 
424.923 6.37487e-07 
425.453 6.37111e-07 
425.983 6.36836e-07 
426.514 6.36641e-07 
427.044 6.36512e-07 
427.574 6.36438e-07 
428.104 6.36411e-07 
428.635 6.36422e-07 
429.165 6.36466e-07 
429.695 6.36539e-07 
430.226 6.36636e-07 
430.756 6.36754e-07 
431.286 6.3689e-07 
431.816 6.37043e-07 
432.347 6.37209e-07 
432.877 6.37389e-07 
433.407 6.37579e-07 
433.938 6.3778e-07 
434.468 6.37989e-07 
434.998 6.38206e-07 
435.528 6.3843e-07 
436.059 6.3866e-07 
436.589 6.38896e-07 
437.119 6.39137e-07 
437.649 6.39382e-07 
438.18 6.39632e-07 
438.71 6.39884e-07 
439.24 6.4014e-07 
439.771 6.40398e-07 
440.301 6.40659e-07 
440.831 6.40921e-07 
441.361 6.41185e-07 
441.892 6.4145e-07 
442.422 6.41715e-07 
442.952 6.41981e-07 
443.482 6.42248e-07 
444.013 6.42514e-07 
444.543 6.42779e-07 
445.073 6.43043e-07 
445.604 6.43307e-07 
446.134 6.43568e-07 
446.664 6.43828e-07 
447.194 6.44086e-07 
447.725 6.44341e-07 
448.255 6.44594e-07 
448.785 6.44844e-07 
449.315 6.4509e-07 
449.846 6.45333e-07 
450.376 6.45572e-07 
450.906 6.45808e-07 
451.437 6.46039e-07 
451.967 6.46266e-07 
452.497 6.46489e-07 
453.027 6.46707e-07 
453.558 6.46921e-07 
454.088 6.4713e-07 
454.618 6.47335e-07 
455.148 6.47536e-07 
455.679 6.47734e-07 
456.209 6.47928e-07 
456.739 6.48119e-07 
457.27 6.48309e-07 
457.8 6.48498e-07 
458.33 6.48688e-07 
458.86 6.48878e-07 
459.391 6.49072e-07 
459.921 6.49272e-07 
460.451 6.4948e-07 
460.981 6.497e-07 
461.512 6.49935e-07 
462.042 6.5019e-07 
462.572 6.50469e-07 
463.103 6.50781e-07 
463.633 6.51131e-07 
464.163 6.5153e-07 
464.693 6.5199e-07 
465.224 6.52524e-07 
465.754 6.53149e-07 
466.284 6.53885e-07 
466.814 6.54758e-07 
467.345 6.55799e-07 
467.875 6.57048e-07 
468.405 6.58552e-07 
468.936 6.60376e-07 
469.466 6.62597e-07 
469.996 6.65314e-07 
470.526 6.68656e-07 
471.057 6.72788e-07 
471.587 6.77921e-07 
472.117 6.84321e-07 
472.647 6.92318e-07 
473.178 7.023e-07 
473.708 7.14671e-07 
474.238 7.29741e-07 
474.769 7.47476e-07 
475.299 7.67045e-07 
475.829 7.86271e-07 
476.359 8.01464e-07 
476.89 8.0844e-07 
477.42 8.04816e-07 
477.95 7.91674e-07 
478.48 7.72763e-07 
479.011 7.5217e-07 
479.541 7.32713e-07 
480.071 7.15724e-07 
480.602 7.01515e-07 
481.132 6.89894e-07 
481.662 6.80488e-07 
482.192 6.72909e-07 
482.723 6.66818e-07 
483.253 6.61941e-07 
483.783 6.58066e-07 
484.313 6.55035e-07 
484.844 6.52737e-07 
485.374 6.511e-07 
485.904 6.5008e-07 
486.435 6.49665e-07 
486.965 6.49872e-07 
487.495 6.50741e-07 
488.025 6.52348e-07 
488.556 6.548e-07 
489.086 6.58246e-07 
489.616 6.6289e-07 
490.146 6.68999e-07 
490.677 6.76922e-07 
491.207 6.87113e-07 
491.737 7.00146e-07 
492.268 7.1673e-07 
492.798 7.37685e-07 
493.328 7.63827e-07 
493.858 7.95693e-07 
494.389 8.32922e-07 
494.919 8.73231e-07 
495.449 9.11352e-07 
495.979 9.39085e-07 
496.51 9.48162e-07 
497.04 9.35138e-07 
497.57 9.0384e-07 
498.101 8.62614e-07 
498.631 8.19511e-07 
499.161 7.79647e-07 
499.691 7.45219e-07 
500.222 7.16564e-07 
500.752 6.93158e-07 
501.282 6.74202e-07 
501.812 6.58907e-07 
502.343 6.46598e-07 
502.873 6.36736e-07 
503.403 6.2891e-07 
503.934 6.22816e-07 
504.464 6.18243e-07 
504.994 6.15053e-07 
505.524 6.13175e-07 
506.055 6.12599e-07 
506.585 6.13367e-07 
507.115 6.15581e-07 
507.646 6.19411e-07 
508.176 6.25099e-07 
508.706 6.32977e-07 
509.236 6.4349e-07 
509.767 6.57229e-07 
510.297 6.74959e-07 
510.827 6.97669e-07 
511.357 7.26611e-07 
511.888 7.63304e-07 
512.418 8.09465e-07 
512.948 8.66716e-07 
513.479 9.35868e-07 
514.009 1.01547e-06 
514.539 1.09955e-06 
515.069 1.17569e-06 
515.6 1.22617e-06 
516.13 1.23538e-06 
516.66 1.19957e-06 
517.19 1.12951e-06 
517.721 1.04301e-06 
518.251 9.55514e-07 
518.781 8.76068e-07 
519.312 8.08109e-07 
519.842 7.51763e-07 
520.372 7.05707e-07 
520.902 6.68216e-07 
521.433 6.37648e-07 
521.963 6.126e-07 
522.493 5.91939e-07 
523.023 5.74769e-07 
523.554 5.6039e-07 
524.084 5.48257e-07 
524.614 5.37943e-07 
525.145 5.29113e-07 
525.675 5.21504e-07 
526.205 5.14906e-07 
526.735 5.09152e-07 
527.266 5.04106e-07 
527.796 4.99659e-07 
528.326 4.95721e-07 
528.856 4.9222e-07 
529.387 4.89093e-07 
529.917 4.86291e-07 
530.447 4.8377e-07 
530.978 4.81495e-07 
531.508 4.79436e-07 
532.038 4.77567e-07 
532.568 4.75866e-07 
533.099 4.74314e-07 
533.629 4.72894e-07 
534.159 4.71593e-07 
534.689 4.70399e-07 
535.22 4.693e-07 
535.75 4.68287e-07 
536.28 4.67352e-07 
536.811 4.66487e-07 
537.341 4.65687e-07 
537.871 4.64946e-07 
538.401 4.64257e-07 
538.932 4.63618e-07 
539.462 4.63024e-07 
539.992 4.6247e-07 
540.522 4.61955e-07 
541.053 4.61474e-07 
541.583 4.61026e-07 
542.113 4.60608e-07 
542.644 4.60218e-07 
543.174 4.59853e-07 
543.704 4.59512e-07 
544.234 4.59194e-07 
544.765 4.58896e-07 
545.295 4.58617e-07 
545.825 4.58357e-07 
546.355 4.58114e-07 
546.886 4.57887e-07 
547.416 4.57674e-07 
547.946 4.57476e-07 
548.477 4.57291e-07 
549.007 4.57119e-07 
549.537 4.56958e-07 
550.067 4.56808e-07 
550.598 4.56669e-07 
551.128 4.5654e-07 
551.658 4.56421e-07 
552.188 4.5631e-07 
552.719 4.56207e-07 
553.249 4.56112e-07 
553.779 4.56025e-07 
554.31 4.55946e-07 
554.84 4.55873e-07 
555.37 4.55806e-07 
555.9 4.55746e-07 
556.431 4.55692e-07 
556.961 4.55644e-07 
557.491 4.556e-07 
558.021 4.55562e-07 
