#energy geo_1 
400 2.96462e-07 
400.53 2.96503e-07 
401.061 2.96544e-07 
401.591 2.96584e-07 
402.121 2.96623e-07 
402.651 2.96662e-07 
403.182 2.96701e-07 
403.712 2.9674e-07 
404.242 2.96778e-07 
404.772 2.96817e-07 
405.303 2.96856e-07 
405.833 2.96896e-07 
406.363 2.96936e-07 
406.894 2.96977e-07 
407.424 2.97019e-07 
407.954 2.97061e-07 
408.484 2.97105e-07 
409.015 2.97149e-07 
409.545 2.97193e-07 
410.075 2.97238e-07 
410.605 2.97283e-07 
411.136 2.97328e-07 
411.666 2.97374e-07 
412.196 2.97418e-07 
412.727 2.97462e-07 
413.257 2.97506e-07 
413.787 2.97549e-07 
414.317 2.97591e-07 
414.848 2.97633e-07 
415.378 2.97674e-07 
415.908 2.97714e-07 
416.438 2.97755e-07 
416.969 2.97794e-07 
417.499 2.97834e-07 
418.029 2.97873e-07 
418.56 2.97913e-07 
419.09 2.97952e-07 
419.62 2.97992e-07 
420.15 2.98032e-07 
420.681 2.98073e-07 
421.211 2.98114e-07 
421.741 2.98156e-07 
422.271 2.98198e-07 
422.802 2.9824e-07 
423.332 2.98283e-07 
423.862 2.98326e-07 
424.393 2.9837e-07 
424.923 2.98413e-07 
425.453 2.98457e-07 
425.983 2.985e-07 
426.514 2.98544e-07 
427.044 2.98587e-07 
427.574 2.98631e-07 
428.104 2.98674e-07 
428.635 2.98716e-07 
429.165 2.98759e-07 
429.695 2.98801e-07 
430.226 2.98842e-07 
430.756 2.98884e-07 
431.286 2.98925e-07 
431.816 2.98966e-07 
432.347 2.99007e-07 
432.877 2.99048e-07 
433.407 2.99089e-07 
433.938 2.9913e-07 
434.468 2.99171e-07 
434.998 2.99213e-07 
435.528 2.99254e-07 
436.059 2.99296e-07 
436.589 2.99338e-07 
437.119 2.99381e-07 
437.649 2.99423e-07 
438.18 2.99467e-07 
438.71 2.9951e-07 
439.24 2.99554e-07 
439.771 2.99598e-07 
440.301 2.99643e-07 
440.831 2.99687e-07 
441.361 2.99732e-07 
441.892 2.99777e-07 
442.422 2.99822e-07 
442.952 2.99867e-07 
443.482 2.99911e-07 
444.013 2.99956e-07 
444.543 3.00001e-07 
445.073 3.00045e-07 
445.604 3.00089e-07 
446.134 3.00133e-07 
446.664 3.00176e-07 
447.194 3.00219e-07 
447.725 3.00262e-07 
448.255 3.00305e-07 
448.785 3.00347e-07 
449.315 3.00389e-07 
449.846 3.00431e-07 
450.376 3.00473e-07 
450.906 3.00514e-07 
451.437 3.00556e-07 
451.967 3.00597e-07 
452.497 3.00639e-07 
453.027 3.0068e-07 
453.558 3.00722e-07 
454.088 3.00764e-07 
454.618 3.00806e-07 
455.148 3.00848e-07 
455.679 3.00891e-07 
456.209 3.00934e-07 
456.739 3.00977e-07 
457.27 3.01021e-07 
457.8 3.01065e-07 
458.33 3.0111e-07 
458.86 3.01154e-07 
459.391 3.01199e-07 
459.921 3.01245e-07 
460.451 3.0129e-07 
460.981 3.01336e-07 
461.512 3.01382e-07 
462.042 3.01428e-07 
462.572 3.01475e-07 
463.103 3.01521e-07 
463.633 3.01567e-07 
464.163 3.01614e-07 
464.693 3.0166e-07 
465.224 3.01706e-07 
465.754 3.01752e-07 
466.284 3.01798e-07 
466.814 3.01844e-07 
467.345 3.0189e-07 
467.875 3.01935e-07 
468.405 3.0198e-07 
468.936 3.02024e-07 
469.466 3.02069e-07 
469.996 3.02113e-07 
470.526 3.02157e-07 
471.057 3.02201e-07 
471.587 3.02245e-07 
472.117 3.02289e-07 
472.647 3.02332e-07 
473.178 3.02375e-07 
473.708 3.02419e-07 
474.238 3.02462e-07 
474.769 3.02505e-07 
475.299 3.02548e-07 
475.829 3.02592e-07 
476.359 3.02635e-07 
476.89 3.02679e-07 
477.42 3.02723e-07 
477.95 3.02767e-07 
478.48 3.02811e-07 
479.011 3.02856e-07 
479.541 3.029e-07 
480.071 3.02945e-07 
480.602 3.02991e-07 
481.132 3.03036e-07 
481.662 3.03082e-07 
482.192 3.03128e-07 
482.723 3.03175e-07 
483.253 3.03221e-07 
483.783 3.03268e-07 
484.313 3.03315e-07 
484.844 3.03362e-07 
485.374 3.0341e-07 
485.904 3.03457e-07 
486.435 3.03505e-07 
486.965 3.03553e-07 
487.495 3.036e-07 
488.025 3.03648e-07 
488.556 3.03696e-07 
489.086 3.03743e-07 
489.616 3.03791e-07 
490.146 3.03839e-07 
490.677 3.03886e-07 
491.207 3.03933e-07 
491.737 3.03981e-07 
492.268 3.04028e-07 
492.798 3.04074e-07 
493.328 3.04121e-07 
493.858 3.04168e-07 
494.389 3.04214e-07 
494.919 3.04261e-07 
495.449 3.04307e-07 
495.979 3.04353e-07 
496.51 3.04399e-07 
497.04 3.04445e-07 
497.57 3.0449e-07 
498.101 3.04536e-07 
498.631 3.04582e-07 
499.161 3.04627e-07 
499.691 3.04673e-07 
500.222 3.04719e-07 
500.752 3.04764e-07 
501.282 3.0481e-07 
501.812 3.04856e-07 
502.343 3.04902e-07 
502.873 3.04949e-07 
503.403 3.04995e-07 
503.934 3.05041e-07 
504.464 3.05088e-07 
504.994 3.05135e-07 
