#energy geo_1 
400 4.26136e-07 
400.53 4.26282e-07 
401.061 4.26429e-07 
401.591 4.26575e-07 
402.121 4.26723e-07 
402.651 4.26871e-07 
403.182 4.27019e-07 
403.712 4.27168e-07 
404.242 4.27317e-07 
404.772 4.27468e-07 
405.303 4.27618e-07 
405.833 4.27769e-07 
406.363 4.27921e-07 
406.894 4.28073e-07 
407.424 4.28226e-07 
407.954 4.28379e-07 
408.484 4.28533e-07 
409.015 4.28687e-07 
409.545 4.28842e-07 
410.075 4.28998e-07 
410.605 4.29154e-07 
411.136 4.29311e-07 
411.666 4.29468e-07 
412.196 4.29627e-07 
412.727 4.29785e-07 
413.257 4.29944e-07 
413.787 4.30105e-07 
414.317 4.30265e-07 
414.848 4.30426e-07 
415.378 4.30588e-07 
415.908 4.30751e-07 
416.438 4.30914e-07 
416.969 4.31078e-07 
417.499 4.31243e-07 
418.029 4.31408e-07 
418.56 4.31574e-07 
419.09 4.3174e-07 
419.62 4.31908e-07 
420.15 4.32076e-07 
420.681 4.32245e-07 
421.211 4.32414e-07 
421.741 4.32585e-07 
422.271 4.32755e-07 
422.802 4.32927e-07 
423.332 4.33099e-07 
423.862 4.33272e-07 
424.393 4.33446e-07 
424.923 4.33621e-07 
425.453 4.33796e-07 
425.983 4.33972e-07 
426.514 4.34148e-07 
427.044 4.34326e-07 
427.574 4.34504e-07 
428.104 4.34682e-07 
428.635 4.34862e-07 
429.165 4.35042e-07 
429.695 4.35222e-07 
430.226 4.35404e-07 
430.756 4.35585e-07 
431.286 4.35768e-07 
431.816 4.35951e-07 
432.347 4.36134e-07 
432.877 4.36318e-07 
433.407 4.36503e-07 
433.938 4.36687e-07 
434.468 4.36873e-07 
434.998 4.37058e-07 
435.528 4.37244e-07 
436.059 4.3743e-07 
436.589 4.37617e-07 
437.119 4.37803e-07 
437.649 4.3799e-07 
438.18 4.38176e-07 
438.71 4.38363e-07 
439.24 4.38549e-07 
439.771 4.38735e-07 
440.301 4.38921e-07 
440.831 4.39107e-07 
441.361 4.39292e-07 
441.892 4.39476e-07 
442.422 4.3966e-07 
442.952 4.39842e-07 
443.482 4.40024e-07 
444.013 4.40205e-07 
444.543 4.40385e-07 
445.073 4.40563e-07 
445.604 4.4074e-07 
446.134 4.40915e-07 
446.664 4.41089e-07 
447.194 4.41261e-07 
447.725 4.41431e-07 
448.255 4.41599e-07 
448.785 4.41764e-07 
449.315 4.41927e-07 
449.846 4.42088e-07 
450.376 4.42246e-07 
450.906 4.42402e-07 
451.437 4.42554e-07 
451.967 4.42704e-07 
452.497 4.42852e-07 
453.027 4.42996e-07 
453.558 4.43137e-07 
454.088 4.43275e-07 
